method,samples,workers,time,pi,error
sequential,5000000,1,2.035311,3.14030640,0.00128625
static,5000000,1,2.617857,3.14189680,0.00030415
dynamic,5000000,1,2.642720,3.14155120,0.00004145
sequential,5000000,1,1.815258,3.14067520,0.00091745
static,5000000,1,2.441791,3.14101360,0.00057905
dynamic,5000000,1,2.492073,3.14160080,0.00000815
sequential,5000000,1,1.799170,3.14056560,0.00102705
static,5000000,1,2.378307,3.14241520,0.00082255
dynamic,5000000,1,2.578933,3.14184240,0.00024975
sequential,5000000,1,1.843221,3.14231920,0.00072655
static,5000000,2,1.514502,3.14036560,0.00122705
dynamic,5000000,2,1.534606,3.14113360,0.00045905
sequential,5000000,1,1.853182,3.14073040,0.00086225
static,5000000,2,1.521196,3.14219360,0.00060095
dynamic,5000000,2,1.588865,3.14131040,0.00028225
sequential,5000000,1,1.844363,3.14013120,0.00146145
static,5000000,2,1.579645,3.14142800,0.00016465
dynamic,5000000,2,1.623372,3.14129760,0.00029505
sequential,5000000,1,1.915564,3.14158800,0.00000465
static,5000000,3,1.193758,3.14266160,0.00106895
dynamic,5000000,3,1.242522,3.13902160,0.00257105
sequential,5000000,1,1.773670,3.14249760,0.00090495
static,5000000,3,1.307953,3.14156080,0.00003185
dynamic,5000000,3,1.312037,3.14159280,0.00000015
sequential,5000000,1,1.881928,3.14131920,0.00027345
static,5000000,3,1.339489,3.14096480,0.00062785
dynamic,5000000,3,1.373888,3.14232960,0.00073695
sequential,5000000,1,1.893174,3.14167600,0.00008335
static,5000000,4,1.121143,3.14077680,0.00081585
dynamic,5000000,4,1.096438,3.14044960,0.00114305
sequential,5000000,1,1.845127,3.14161680,0.00002415
static,5000000,4,1.178312,3.14239280,0.00080015
dynamic,5000000,4,1.154941,3.14053280,0.00105985
sequential,5000000,1,1.829631,3.14133360,0.00025905
static,5000000,4,1.231607,3.14196400,0.00037135
dynamic,5000000,4,1.163640,3.14106720,0.00052545
sequential,5000000,1,1.935579,3.14071360,0.00087905
static,5000000,5,1.055336,3.14048560,0.00110705
dynamic,5000000,5,0.946338,3.14283200,0.00123935
sequential,5000000,1,1.838307,3.14205120,0.00045855
static,5000000,5,1.097414,3.14215760,0.00056495
dynamic,5000000,5,1.010885,3.14118800,0.00040465
sequential,5000000,1,1.883308,3.14207760,0.00048495
static,5000000,5,0.985918,3.14073200,0.00086065
dynamic,5000000,5,0.992980,3.14174960,0.00015695
sequential,5000000,1,1.905094,3.14163040,0.00003775
static,5000000,6,0.999057,3.14116800,0.00042465
dynamic,5000000,6,0.913954,3.14140960,0.00018305
sequential,5000000,1,1.861234,3.14179360,0.00020095
static,5000000,6,1.039835,3.14099440,0.00059825
dynamic,5000000,6,0.948803,3.14081360,0.00077905
sequential,5000000,1,1.997023,3.14219920,0.00060655
static,5000000,6,0.945481,3.14091120,0.00068145
dynamic,5000000,6,0.937155,3.14183440,0.00024175
